US	INT	Date	Rate
USA	LTINT	1/1/2007	4.76
USA	LTINT	2/1/2007	4.72
USA	LTINT	3/1/2007	4.56
USA	LTINT	4/1/2007	4.69
USA	LTINT	5/1/2007	4.75
USA	LTINT	6/1/2007	5.1
USA	LTINT	7/1/2007	5
USA	LTINT	8/1/2007	4.67
USA	LTINT	9/1/2007	4.52
USA	LTINT	10/1/2007	4.53
USA	LTINT	11/1/2007	4.15
USA	LTINT	12/1/2007	4.1
USA	LTINT	1/1/2008	3.74
USA	LTINT	2/1/2008	3.74
USA	LTINT	3/1/2008	3.51
USA	LTINT	4/1/2008	3.68
USA	LTINT	5/1/2008	3.88
USA	LTINT	6/1/2008	4.1
USA	LTINT	7/1/2008	4.01
USA	LTINT	8/1/2008	3.89
USA	LTINT	9/1/2008	3.69
USA	LTINT	10/1/2008	3.81
USA	LTINT	11/1/2008	3.53
USA	LTINT	12/1/2008	2.42
USA	LTINT	1/1/2009	2.52
USA	LTINT	2/1/2009	2.87
USA	LTINT	3/1/2009	2.82
USA	LTINT	4/1/2009	2.93
USA	LTINT	5/1/2009	3.29
USA	LTINT	6/1/2009	3.72
USA	LTINT	7/1/2009	3.56
USA	LTINT	8/1/2009	3.59
USA	LTINT	9/1/2009	3.4
USA	LTINT	10/1/2009	3.39
USA	LTINT	11/1/2009	3.4
USA	LTINT	12/1/2009	3.59
USA	LTINT	1/1/2010	3.73
USA	LTINT	2/1/2010	3.69
USA	LTINT	3/1/2010	3.73
USA	LTINT	4/1/2010	3.85
USA	LTINT	5/1/2010	3.42
USA	LTINT	6/1/2010	3.2
USA	LTINT	7/1/2010	3.01
USA	LTINT	8/1/2010	2.7
USA	LTINT	9/1/2010	2.65
USA	LTINT	10/1/2010	2.54
USA	LTINT	11/1/2010	2.76
USA	LTINT	12/1/2010	3.29
USA	LTINT	1/1/2011	3.39
